key,dataset,video_id,object_id,expression_id,description_type,expression,prompt_method,prompt,candidate_count,oracle_track_id,oracle_J,oracle_F,oracle_J_and_F,recall_at_0_3,recall_at_0_5,recall_at_0_7,candidate_metrics
long_rvos/a3f2b5d434/2/15/concept,long_rvos,a3f2b5d434,2,15,hybrid,A black and white cat watches a dog spin in circles.,concept,black and white cat,1,0,0.9180478064913578,0.9400342405364883,0.929041023513923,1,1,1,"[{""track_id"":0,""confidence"":0.8904109597206116,""J"":0.9180478064913578,""F"":0.9400342405364883,""J_and_F"":0.929041023513923}]"
long_rvos/a3f2b5d434/2/15/qwen_concept,long_rvos,a3f2b5d434,2,15,hybrid,A black and white cat watches a dog spin in circles.,qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/16/raw_expression,long_rvos,a3f2b5d434,2,16,hybrid,"A spotted white cat on a black chair stands, watches a spinning dog, and touches the carpet and dog.",raw_expression,"A spotted white cat on a black chair stands, watches a spinning dog, and touches the carpet and dog.",0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/a3f2b5d434/2/16/concept,long_rvos,a3f2b5d434,2,16,hybrid,"A spotted white cat on a black chair stands, watches a spinning dog, and touches the carpet and dog.",concept,spotted white cat,2,1,0.5671340758740835,0.5767954551134153,0.5719647654937494,1,1,0,"[{""track_id"":0,""confidence"":0.6995305418968201,""J"":0.04513892075206542,""F"":0.04665492957746479,""J_and_F"":0.04589692516476511},{""track_id"":1,""confidence"":0.6559139490127563,""J"":0.5671340758740835,""F"":0.5767954551134153,""J_and_F"":0.5719647654937494}]"
long_rvos/a3f2b5d434/2/16/qwen_concept,long_rvos,a3f2b5d434,2,16,hybrid,"A spotted white cat on a black chair stands, watches a spinning dog, and touches the carpet and dog.",qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/17/raw_expression,long_rvos,a3f2b5d434,2,17,hybrid,A black and white cat on a black square watches a dog running below.,raw_expression,A black and white cat on a black square watches a dog running below.,0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/a3f2b5d434/2/17/concept,long_rvos,a3f2b5d434,2,17,hybrid,A black and white cat on a black square watches a dog running below.,concept,black and white cat,1,0,0.9180478064913578,0.9400342405364883,0.929041023513923,1,1,1,"[{""track_id"":0,""confidence"":0.8904109597206116,""J"":0.9180478064913578,""F"":0.9400342405364883,""J_and_F"":0.929041023513923}]"
long_rvos/a3f2b5d434/2/17/qwen_concept,long_rvos,a3f2b5d434,2,17,hybrid,A black and white cat on a black square watches a dog running below.,qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/10/raw_expression,long_rvos,a3f2b5d434,2,10,static,"A black and white cat, standing on top of a black square object.",raw_expression,"A black and white cat, standing on top of a black square object.",3,0,0.912858762214293,0.9340653591456474,0.9234620606799702,1,1,1,"[{""track_id"":0,""confidence"":0.9024390578269958,""J"":0.912858762214293,""F"":0.9340653591456474,""J_and_F"":0.9234620606799702},{""track_id"":1,""confidence"":-10000.0,""J"":0.0,""F"":0.0,""J_and_F"":0.0},{""track_id"":2,""confidence"":0.6878048777580261,""J"":0.0,""F"":0.0,""J_and_F"":0.0}]"
long_rvos/a3f2b5d434/2/10/concept,long_rvos,a3f2b5d434,2,10,static,"A black and white cat, standing on top of a black square object.",concept,black and white cat,1,0,0.9180478064913578,0.9400342405364883,0.929041023513923,1,1,1,"[{""track_id"":0,""confidence"":0.8904109597206116,""J"":0.9180478064913578,""F"":0.9400342405364883,""J_and_F"":0.929041023513923}]"
long_rvos/a3f2b5d434/2/10/qwen_concept,long_rvos,a3f2b5d434,2,10,static,"A black and white cat, standing on top of a black square object.",qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/6/raw_expression,long_rvos,a3f2b5d434,2,6,static,A black and white cat.,raw_expression,A black and white cat.,1,0,0.9180756436872637,0.9401172438784711,0.9290964437828674,1,1,1,"[{""track_id"":0,""confidence"":0.8865247964859009,""J"":0.9180756436872637,""F"":0.9401172438784711,""J_and_F"":0.9290964437828674}]"
long_rvos/a3f2b5d434/2/6/concept,long_rvos,a3f2b5d434,2,6,static,A black and white cat.,concept,black and white cat,1,0,0.9180478064913578,0.9400342405364883,0.929041023513923,1,1,1,"[{""track_id"":0,""confidence"":0.8904109597206116,""J"":0.9180478064913578,""F"":0.9400342405364883,""J_and_F"":0.929041023513923}]"
long_rvos/a3f2b5d434/2/6/qwen_concept,long_rvos,a3f2b5d434,2,6,static,A black and white cat.,qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/8/raw_expression,long_rvos,a3f2b5d434,2,8,static,"A white cat with black spots and a black tail, sitting on a black chair.",raw_expression,"A white cat with black spots and a black tail, sitting on a black chair.",4,3,0.6282041739472938,0.638715142408794,0.6334596581780438,1,1,0,"[{""track_id"":0,""confidence"":0.7142857313156128,""J"":0.043282766576298974,""F"":0.044376861225889054,""J_and_F"":0.043829813901094014},{""track_id"":1,""confidence"":0.6831682920455933,""J"":0.04351358836292482,""F"":0.0448942983642017,""J_and_F"":0.04420394336356326},{""track_id"":2,""confidence"":0.7229437232017517,""J"":0.026874136314699988,""F"":0.027884951240896724,""J_and_F"":0.027379543777798356},{""track_id"":3,""confidence"":0.8012422323226929,""J"":0.6282041739472938,""F"":0.638715142408794,""J_and_F"":0.6334596581780438}]"
long_rvos/a3f2b5d434/2/8/concept,long_rvos,a3f2b5d434,2,8,static,"A white cat with black spots and a black tail, sitting on a black chair.",concept,white cat,2,1,0.9239058276706165,0.9408479624445698,0.9323768950575931,1,1,1,"[{""track_id"":0,""confidence"":0.7852349281311035,""J"":0.0,""F"":0.0,""J_and_F"":0.0},{""track_id"":1,""confidence"":0.8987342119216919,""J"":0.9239058276706165,""F"":0.9408479624445698,""J_and_F"":0.9323768950575931}]"
long_rvos/a3f2b5d434/2/8/qwen_concept,long_rvos,a3f2b5d434,2,8,static,"A white cat with black spots and a black tail, sitting on a black chair.",qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/c6bb21356b/1/1/raw_expression,long_rvos,c6bb21356b,1,1,dynamic,"One person sits on the left of another, both on the boat, moving forward with it.",raw_expression,"One person sits on the left of another, both on the boat, moving forward with it.",0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/c6bb21356b/1/1/concept,long_rvos,c6bb21356b,1,1,dynamic,"One person sits on the left of another, both on the boat, moving forward with it.",concept,One person,7,0,0.8048804711730423,0.9626084894867764,0.8837444803299093,1,1,1,"[{""track_id"":0,""confidence"":0.7064220309257507,""J"":0.8048804711730423,""F"":0.9626084894867764,""J_and_F"":0.8837444803299093},{""track_id"":1,""confidence"":0.6800000071525574,""J"":0.046875,""F"":0.06199028190862818,""J_and_F"":0.05443264095431409},{""track_id"":2,""confidence"":0.675126850605011,""J"":0.046875,""F"":0.046875,""J_and_F"":0.046875},{""track_id"":3,""confidence"":0.7887788414955139,""J"":0.046875,""F"":0.046875,""J_and_F"":0.046875},{""track_id"":4,""confidence"":0.675126850605011,""J"":0.04775256421963949,""F"":0.21523988519836587,""J_and_F"":0.13149622470900268},{""track_id"":5,""confidence"":null,""J"":0.046875,""F"":0.046875,""J_and_F"":0.046875},{""track_id"":6,""confidence"":0.6683937907218933,""J"":0.046875,""F"":0.046875,""J_and_F"":0.046875}]"
long_rvos/c6bb21356b/1/1/qwen_concept,long_rvos,c6bb21356b,1,1,dynamic,"One person sits on the left of another, both on the boat, moving forward with it.",qwen_concept,person,4,0,0.8247529222008813,0.9827967171717171,0.9037748196862991,1,1,1,"[{""track_id"":0,""confidence"":0.6995305418968201,""J"":0.8247529222008813,""F"":0.9827967171717171,""J_and_F"":0.9037748196862991},{""track_id"":1,""confidence"":0.6717948913574219,""J"":0.046875,""F"":0.059334693434590954,""J_and_F"":0.05310484671729548},{""track_id"":2,""confidence"":-10000.0,""J"":0.046875,""F"":0.046875,""J_and_F"":0.046875},{""track_id"":3,""confidence"":0.6800000071525574,""J"":0.0477088699757178,""F"":0.21928915520113137,""J_and_F"":0.1334990125884246}]"
long_rvos/c6bb21356b/1/6/raw_expression,long_rvos,c6bb21356b,1,6,hybrid,"A person in blue sits left of another in a white boat, moving forward.",raw_expression,"A person in blue sits left of another in a white boat, moving forward.",1,0,0.05984237536656892,0.0625,0.06117118768328446,0,0,0,"[{""track_id"":0,""confidence"":0.7064220309257507,""J"":0.05984237536656892,""F"":0.0625,""J_and_F"":0.06117118768328446}]"
long_rvos/c6bb21356b/1/6/concept,long_rvos,c6bb21356b,1,6,hybrid,"A person in blue sits left of another in a white boat, moving forward.",concept,person,4,0,0.8247529222008813,0.9827967171717171,0.9037748196862991,1,1,1,"[{""track_id"":0,""confidence"":0.6995305418968201,""J"":0.8247529222008813,""F"":0.9827967171717171,""J_and_F"":0.9037748196862991},{""track_id"":1,""confidence"":0.6717948913574219,""J"":0.046875,""F"":0.059334693434590954,""J_and_F"":0.05310484671729548},{""track_id"":2,""confidence"":-10000.0,""J"":0.046875,""F"":0.046875,""J_and_F"":0.046875},{""track_id"":3,""confidence"":0.6800000071525574,""J"":0.0477088699757178,""F"":0.21928915520113137,""J_and_F"":0.1334990125884246}]"
long_rvos/c6bb21356b/1/6/qwen_concept,long_rvos,c6bb21356b,1,6,hybrid,"A person in blue sits left of another in a white boat, moving forward.",qwen_concept,person in blue,1,0,0.8503199216448539,1.0,0.925159960822427,1,1,1,"[{""track_id"":0,""confidence"":0.7460317611694336,""J"":0.8503199216448539,""F"":1.0,""J_and_F"":0.925159960822427}]"
long_rvos/c6bb21356b/1/0/raw_expression,long_rvos,c6bb21356b,1,0,static,"A person wearing blue clothes, sitting in a white boat. He is sitting next to a person wearing black clothes.",raw_expression,"A person wearing blue clothes, sitting in a white boat. He is sitting next to a person wearing black clothes.",0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/c6bb21356b/1/0/concept,long_rvos,c6bb21356b,1,0,static,"A person wearing blue clothes, sitting in a white boat. He is sitting next to a person wearing black clothes.",concept,He,0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/c6bb21356b/1/0/qwen_concept,long_rvos,c6bb21356b,1,0,static,"A person wearing blue clothes, sitting in a white boat. He is sitting next to a person wearing black clothes.",qwen_concept,person wearing blue clothes,1,0,0.6967316148652926,0.8125,0.7546158074326463,1,1,1,"[{""track_id"":0,""confidence"":0.6640419960021973,""J"":0.6967316148652926,""F"":0.8125,""J_and_F"":0.7546158074326463}]"
long_rvos/6db18ab93a/1/1/raw_expression,long_rvos,6db18ab93a,1,1,dynamic,The child is watching TV and dancing around.,raw_expression,The child is watching TV and dancing around.,9,0,0.699921474202329,0.6814974322694882,0.6907094532359086,1,1,0,"[{""track_id"":0,""confidence"":0.7264957427978516,""J"":0.699921474202329,""F"":0.6814974322694882,""J_and_F"":0.6907094532359086},{""track_id"":1,""confidence"":0.7387754917144775,""J"":0.296875,""F"":0.296875,""J_and_F"":0.296875},{""track_id"":2,""confidence"":-2499.4084158688784,""J"":0.265625,""F"":0.265625,""J_and_F"":0.265625},{""track_id"":3,""confidence"":0.6908212304115295,""J"":0.28125,""F"":0.28213380818559597,""J_and_F"":0.281691904092798},{""track_id"":4,""confidence"":0.719298243522644,""J"":0.296875,""F"":0.30365393897760257,""J_and_F"":0.30026446948880126},{""track_id"":5,""confidence"":0.7460317611694336,""J"":0.32906537935028696,""F"":0.33894752178307874,""J_and_F"":0.3340064505666829},{""track_id"":6,""confidence"":0.8012422323226929,""J"":0.4213175057336207,""F"":0.4173083536662964,""J_and_F"":0.4193129296999586},{""track_id"":7,""confidence"":0.6908212304115295,""J"":0.3839695917639384,""F"":0.3716658309159683,""J_and_F"":0.37781771133995334},{""track_id"":8,""confidence"":0.8476190567016602,""J"":0.35613178192028583,""F"":0.35059083374486655,""J_and_F"":0.3533613078325762}]"
long_rvos/6db18ab93a/1/1/concept,long_rvos,6db18ab93a,1,1,dynamic,The child is watching TV and dancing around.,concept,child,2,0,0.8161361125745993,0.7813232760909318,0.7987296943327655,1,1,1,"[{""track_id"":0,""confidence"":0.859649121761322,""J"":0.8161361125745993,""F"":0.7813232760909318,""J_and_F"":0.7987296943327655},{""track_id"":1,""confidence"":0.719298243522644,""J"":0.4161226910597724,""F"":0.41392991906731974,""J_and_F"":0.4150263050635461}]"
long_rvos/6db18ab93a/1/1/qwen_concept,long_rvos,6db18ab93a,1,1,dynamic,The child is watching TV and dancing around.,qwen_concept,child,2,0,0.8161361125745993,0.7813232760909318,0.7987296943327655,1,1,1,"[{""track_id"":0,""confidence"":0.859649121761322,""J"":0.8161361125745993,""F"":0.7813232760909318,""J_and_F"":0.7987296943327655},{""track_id"":1,""confidence"":0.719298243522644,""J"":0.4161226910597724,""F"":0.41392991906731974,""J_and_F"":0.4150263050635461}]"
long_rvos/6db18ab93a/1/3/raw_expression,long_rvos,6db18ab93a,1,3,dynamic,Little boy watching TV and jumping around.,raw_expression,Little boy watching TV and jumping around.,2,0,0.8258230398520368,0.7891603584582275,0.8074916991551322,1,1,1,"[{""track_id"":0,""confidence"":0.6831682920455933,""J"":0.8258230398520368,""F"":0.7891603584582275,""J_and_F"":0.8074916991551322},{""track_id"":1,""confidence"":0.6831682920455933,""J"":0.4105894746750857,""F"":0.4096706240984357,""J_and_F"":0.4101300493867607}]"
long_rvos/6db18ab93a/1/3/concept,long_rvos,6db18ab93a,1,3,dynamic,Little boy watching TV and jumping around.,concept,Little boy,2,0,0.8263044559925994,0.7895216177917544,0.807913036892177,1,1,1,"[{""track_id"":0,""confidence"":0.8012422323226929,""J"":0.8263044559925994,""F"":0.7895216177917544,""J_and_F"":0.807913036892177},{""track_id"":1,""confidence"":0.7064220309257507,""J"":0.4102530089787395,""F"":0.4089202455301484,""J_and_F"":0.40958662725444395}]"
long_rvos/6db18ab93a/1/3/qwen_concept,long_rvos,6db18ab93a,1,3,dynamic,Little boy watching TV and jumping around.,qwen_concept,little boy,2,0,0.8263044559925994,0.7895216177917544,0.807913036892177,1,1,1,"[{""track_id"":0,""confidence"":0.8012422323226929,""J"":0.8263044559925994,""F"":0.7895216177917544,""J_and_F"":0.807913036892177},{""track_id"":1,""confidence"":0.7064220309257507,""J"":0.4102530089787395,""F"":0.4089202455301484,""J_and_F"":0.40958662725444395}]"
long_rvos/6db18ab93a/1/8/raw_expression,long_rvos,6db18ab93a,1,8,hybrid,A child in a blue shirt dances near a man watching TV.,raw_expression,A child in a blue shirt dances near a man watching TV.,0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/6db18ab93a/1/8/concept,long_rvos,6db18ab93a,1,8,hybrid,A child in a blue shirt dances near a man watching TV.,concept,child,2,0,0.8161361125745993,0.7813232760909318,0.7987296943327655,1,1,1,"[{""track_id"":0,""confidence"":0.859649121761322,""J"":0.8161361125745993,""F"":0.7813232760909318,""J_and_F"":0.7987296943327655},{""track_id"":1,""confidence"":0.719298243522644,""J"":0.4161226910597724,""F"":0.41392991906731974,""J_and_F"":0.4150263050635461}]"
long_rvos/6db18ab93a/1/8/qwen_concept,long_rvos,6db18ab93a,1,8,hybrid,A child in a blue shirt dances near a man watching TV.,qwen_concept,child,2,0,0.8161361125745993,0.7813232760909318,0.7987296943327655,1,1,1,"[{""track_id"":0,""confidence"":0.859649121761322,""J"":0.8161361125745993,""F"":0.7813232760909318,""J_and_F"":0.7987296943327655},{""track_id"":1,""confidence"":0.719298243522644,""J"":0.4161226910597724,""F"":0.41392991906731974,""J_and_F"":0.4150263050635461}]"
long_rvos/6db18ab93a/1/9/raw_expression,long_rvos,6db18ab93a,1,9,hybrid,A boy in green plays on a table near a man.,raw_expression,A boy in green plays on a table near a man.,0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/6db18ab93a/1/9/concept,long_rvos,6db18ab93a,1,9,hybrid,A boy in green plays on a table near a man.,concept,boy,3,0,0.8146439424961562,0.7790196534298489,0.7968317979630026,1,1,1,"[{""track_id"":0,""confidence"":0.7460317611694336,""J"":0.8146439424961562,""F"":0.7790196534298489,""J_and_F"":0.7968317979630026},{""track_id"":1,""confidence"":0.6717948913574219,""J"":0.4004272550446887,""F"":0.39598688481114097,""J_and_F"":0.3982070699279148},{""track_id"":2,""confidence"":0.7299578189849854,""J"":0.3392657520325203,""F"":0.33691417460681894,""J_and_F"":0.3380899633196696}]"
long_rvos/6db18ab93a/1/9/qwen_concept,long_rvos,6db18ab93a,1,9,hybrid,A boy in green plays on a table near a man.,qwen_concept,boy,3,0,0.8146439424961562,0.7790196534298489,0.7968317979630026,1,1,1,"[{""track_id"":0,""confidence"":0.7460317611694336,""J"":0.8146439424961562,""F"":0.7790196534298489,""J_and_F"":0.7968317979630026},{""track_id"":1,""confidence"":0.6717948913574219,""J"":0.4004272550446887,""F"":0.39598688481114097,""J_and_F"":0.3982070699279148},{""track_id"":2,""confidence"":0.7299578189849854,""J"":0.3392657520325203,""F"":0.33691417460681894,""J_and_F"":0.3380899633196696}]"
long_rvos/6db18ab93a/1/0/raw_expression,long_rvos,6db18ab93a,1,0,static,"A child in a blue striped shirt, next to a man, with a TV in front of them.",raw_expression,"A child in a blue striped shirt, next to a man, with a TV in front of them.",0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/6db18ab93a/1/0/concept,long_rvos,6db18ab93a,1,0,static,"A child in a blue striped shirt, next to a man, with a TV in front of them.",concept,child,2,0,0.8161361125745993,0.7813232760909318,0.7987296943327655,1,1,1,"[{""track_id"":0,""confidence"":0.859649121761322,""J"":0.8161361125745993,""F"":0.7813232760909318,""J_and_F"":0.7987296943327655},{""track_id"":1,""confidence"":0.719298243522644,""J"":0.4161226910597724,""F"":0.41392991906731974,""J_and_F"":0.4150263050635461}]"
